bucket,value
2026-02-06T08,617.110
2026-02-06T09,733.008
2026-02-06T10,1020.858
2026-02-06T11,1172.358
2026-02-06T12,1314.768
2026-02-06T13,1318.303
2026-02-06T14,1300.375
2026-02-06T15,1277.398
2026-02-06T16,1269.823
2026-02-06T17,1145.340
2026-02-06T18,948.390
2026-02-06T19,962.278
2026-02-06T20,948.138
2026-02-06T21,886.023
2026-02-06T22,617.363
2026-02-06T23,395.415
2026-02-07T00,304.515
2026-02-07T01,343.400
2026-02-07T02,368.650
2026-02-07T03,361.327
2026-02-07T04,368.902
2026-02-07T05,357.540
2026-02-07T06,381.022
2026-02-07T07,399.960
2026-02-07T08,526.462
2026-02-07T09,944.350
2026-02-07T10,1273.105
2026-02-07T11,1331.180
2026-02-07T12,1323.857
2026-02-07T13,1353.905
2026-02-07T14,1331.685
2026-02-07T15,1312.495
2026-02-07T16,1310.222
2026-02-07T17,1276.387
2026-02-07T18,1302.647
2026-02-07T19,1309.465
2026-02-07T20,1299.112
2026-02-07T21,1239.522
2026-02-07T22,787.800
2026-02-07T23,405.262
2026-02-08T00,304.514
2026-02-08T01,280.022
2026-02-08T02,268.154
2026-02-08T03,259.317
2026-02-08T04,267.649
2026-02-08T05,263.609
2026-02-08T06,279.769
2026-02-08T07,304.009
2026-02-08T08,387.586
2026-02-08T09,503.736
2026-02-08T10,861.527
2026-02-08T11,1105.189
2026-02-08T12,1164.274
2026-02-08T13,1294.816
2026-02-08T14,1281.434
2026-02-08T15,1253.154
2026-02-08T16,1264.516
2026-02-08T17,1259.971
2026-02-08T18,1199.371
2026-02-08T19,1192.301
2026-02-08T20,1148.619
2026-02-08T21,864.557
2026-02-08T22,671.395
2026-02-08T23,591.858
2026-02-09T00,561.057
2026-02-09T01,623.677
2026-02-09T02,612.062
2026-02-09T03,602.972
2026-02-09T04,527.222
2026-02-09T05,512.577
2026-02-09T06,450.966
2026-02-09T07,511.567
2026-02-09T08,604.234
2026-02-09T09,698.670
2026-02-09T10,1065.806
2026-02-09T11,1215.034
2026-02-09T12,1272.099
2026-02-09T13,1311.489
2026-02-09T14,1289.269
2026-02-09T15,1222.104
2026-02-09T16,1247.859
2026-02-09T17,1152.666
2026-02-09T18,946.878
2026-02-09T19,956.725
2026-02-09T20,937.283
2026-02-09T21,854.968
2026-02-09T22,612.062
2026-02-09T23,522.929
2026-02-10T00,460.069
2026-02-10T01,495.420
2026-02-10T02,583.798
2026-02-10T03,579.758
2026-02-10T04,583.293
2026-02-10T05,569.152
2026-02-10T06,558.547
2026-02-10T07,563.092
2026-02-10T08,638.592
2026-02-10T09,687.831
2026-02-10T10,1115.327
2026-02-10T11,1217.592
2026-02-10T12,1309.000
2026-02-10T13,1304.455
2026-02-10T14,1277.437
2026-02-10T15,1260.771
2026-02-10T16,1258.499
2026-02-10T17,1180.474
2026-02-10T18,945.641
2026-02-10T19,938.824
2026-02-10T20,917.108
2026-02-10T21,849.184
2026-02-10T22,594.908
2026-02-10T23,497.188
2026-02-11T00,462.085
2026-02-11T01,518.394
2026-02-11T02,587.580
2026-02-11T03,582.025
2026-02-11T04,587.580
2026-02-11T05,574.450
2026-02-11T06,507.031
2026-02-11T07,590.358
2026-02-11T08,544.149
2026-02-11T09,711.308
2026-02-11T10,1015.324
2026-02-11T11,1118.094
2026-02-11T12,1208.238
2026-02-11T13,1297.625
2026-02-11T14,1286.010
2026-02-11T15,1274.142
2026-02-11T16,1278.687
2026-02-11T17,1169.605
2026-02-11T18,1021.889
2026-02-11T19,1036.535
2026-02-11T20,1004.719
2026-02-11T21,935.280
2026-02-11T22,657.271
2026-02-11T23,584.802
2026-02-12T00,549.448
2026-02-12T01,536.066
2026-02-12T02,515.865
2026-02-12T03,510.058
2026-02-12T04,513.340
2026-02-12T05,473.697
2026-02-12T06,349.718
2026-02-12T07,422.439
2026-02-12T08,532.531
2026-02-12T09,703.223
2026-02-12T10,1029.963
2026-02-12T11,1147.882
2026-02-12T12,1279.437
2026-02-12T13,1284.739
2026-02-12T14,1278.427
2026-02-12T15,1240.551
2026-02-12T16,1224.391
2026-02-12T17,1127.935
2026-02-12T18,945.374
2026-02-12T19,946.384
2026-02-12T20,919.366
2026-02-12T21,850.180
2026-02-12T22,623.937
2026-02-12T23,509.048
2026-02-13T00,476.215
2026-02-13T01,562.065
2026-02-13T02,598.930
2026-02-13T03,585.800
2026-02-13T04,592.870
2026-02-13T05,534.543
2026-02-13T06,502.475
2026-02-13T07,551.713
2026-02-13T08,617.110
2026-02-13T09,733.008
